,Unnamed: 0,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reduce_dim__k,param_reduce_dim,param_clf__n_estimators,param_clf__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,param_reduce_dim__n_components
37,2,2134.1394295692444,555.608508520771,5.131915330886841,0.7317618157335128,,PCA(n_components=0.95),50,0.001,"{'reduce_dim__n_components': 0.93, 'reduce_dim': PCA(n_components=0.95), 'clf__n_estimators': 50, 'clf__learning_rate': 0.001}",0.6184556607772211,0.5792730101740646,0.536395354843557,0.5780413419316143,0.03351229831446189,1,0.6312866002946372,0.5896169476869866,0.5556070008935591,0.5921701829583944,0.0309487716411092,0.93
43,2,2918.246590455373,919.4307646999671,6.1275328795115165,0.9335843395781254,,PCA(n_components=0.95),50,0.001,"{'reduce_dim__n_components': 0.95, 'reduce_dim': PCA(n_components=0.95), 'clf__n_estimators': 50, 'clf__learning_rate': 0.001}",0.6184556607772211,0.5792730101740646,0.536395354843557,0.5780413419316143,0.03351229831446189,2,0.6312866002946372,0.5896169476869866,0.5556070008935591,0.5921701829583944,0.0309487716411092,0.95
31,0,5682.124432484309,1934.87677474453,12.012786865234375,0.18537658116804648,,PCA(n_components=0.93),100,0.005,"{'reduce_dim__n_components': 0.95, 'reduce_dim': PCA(n_components=0.93), 'clf__n_estimators': 100, 'clf__learning_rate': 0.005}",0.593926880937407,0.5838255027820749,0.5472858630564956,0.5750127489253258,0.020034879754178832,2,0.6076545147932899,0.5940032116160019,0.5725167185054987,0.5913914816382635,0.014463333688976916,0.95
32,1,2902.937145789465,991.3125261128708,6.748968919118244,0.20279795633284065,,PCA(n_components=0.93),50,0.005,"{'reduce_dim__n_components': 0.95, 'reduce_dim': PCA(n_components=0.93), 'clf__n_estimators': 50, 'clf__learning_rate': 0.005}",0.6034161403169773,0.5799255705433265,0.5396151976630597,0.5743189695077878,0.02634660702077721,3,0.6163233984914771,0.5904218124936333,0.5647012249414836,0.5904821453088647,0.02107470728215627,0.95
35,0,5078.454081058502,1888.770388805601,11.947857936223347,0.13442335502976308,,PCA(n_components=0.93),100,0.005,"{'reduce_dim__n_components': 0.93, 'reduce_dim': PCA(n_components=0.93), 'clf__n_estimators': 100, 'clf__learning_rate': 0.005}",0.5941816421563051,0.5835562254791914,0.5424490073972454,0.5733956250109139,0.022308365040727567,3,0.6073669627577215,0.5937099450405203,0.5687340607437639,0.5899369895140021,0.015995867686350067,0.93
40,2,3432.641757726669,971.9540435358032,8.925190448760986,1.1236368554512814,,PCA(n_components=0.95),100,0.005,"{'reduce_dim__n_components': 0.91, 'reduce_dim': PCA(n_components=0.95), 'clf__n_estimators': 100, 'clf__learning_rate': 0.005}",0.5899234893693461,0.5830704228969662,0.5437478184071386,0.5722472435578171,0.020345418082999327,2,0.6063738399357828,0.5935986346317953,0.5704760600288928,0.5901495115321569,0.014856760260977072,0.91
44,1,2790.2956050237017,915.5575834378604,6.386041959126789,0.01781623057096409,,PCA(n_components=0.95),50,0.009000000000000001,"{'reduce_dim__n_components': 0.93, 'reduce_dim': PCA(n_components=0.95), 'clf__n_estimators': 50, 'clf__learning_rate': 0.009}",0.5885100322540109,0.5820360206825943,0.5417821204608431,0.5707760577991494,0.02067147000481477,3,0.6072614215729661,0.5928539229956609,0.5681168002264738,0.5894107149317003,0.0161651292688688,0.93
29,0,2082.5076318581896,739.2894576456471,6.126660505930582,0.08793427808560425,,PCA(n_components=0.91),50,0.005,"{'reduce_dim__n_components': 0.91, 'reduce_dim': PCA(n_components=0.91), 'clf__n_estimators': 50, 'clf__learning_rate': 0.005}",0.5910401557799608,0.57997370114428,0.5396100557130659,0.5702079708791022,0.022102653142882563,3,0.6097993425539081,0.5905274542587268,0.5635954314541318,0.5879740760889223,0.018948881326479997,0.91
38,1,2096.870678027471,733.54512090265,6.05518142382304,0.05333289668911706,,PCA(n_components=0.95),50,0.005,"{'reduce_dim__n_components': 0.91, 'reduce_dim': PCA(n_components=0.95), 'clf__n_estimators': 50, 'clf__learning_rate': 0.005}",0.5910401557799608,0.57997370114428,0.5396100557130659,0.5702079708791022,0.022102653142882563,3,0.6097993425539081,0.5905274542587268,0.5635954314541318,0.5879740760889223,0.018948881326479997,0.91
26,2,2006.0487140814466,628.2837961586247,5.154976526896159,0.7657961632517943,,PCA(n_components=0.93),50,0.005,"{'reduce_dim__n_components': 0.91, 'reduce_dim': PCA(n_components=0.93), 'clf__n_estimators': 50, 'clf__learning_rate': 0.005}",0.5910401557799608,0.57997370114428,0.5396100557130659,0.5702079708791022,0.022102653142882563,3,0.6097993425539081,0.5905274542587268,0.5635954314541318,0.5879740760889223,0.018948881326479997,0.91
41,1,1995.9365734259286,722.4269778231163,6.1601211229960136,0.26527673830266674,,PCA(n_components=0.95),50,0.005,"{'reduce_dim__n_components': 0.91, 'reduce_dim': PCA(n_components=0.95), 'clf__n_estimators': 50, 'clf__learning_rate': 0.005}",0.5910401557799608,0.57997370114428,0.5396100557130659,0.5702079708791022,0.022102653142882563,3,0.6097993425539081,0.5905274542587268,0.5635954314541318,0.5879740760889223,0.018948881326479997,0.91
